Unique_ID,State_UT,District,Disease_Illness,Cases,Deaths,Outbreak_Start_Date,Reporting_Date,Current_Status,Comments_Action_Taken
KT/BID/2025/19/800,Karnataka,Bidar,Acute Diarrheal Disease,8,0,2025-05-08,2025-05-09,Under Surveillance,"Cases were reported from UPHC Kumbarwada, Village Kumbaravada, Sub- District Bidar, District Bidar. Cases presented with loose stools. The affected age group was 19-52 years. Two stool samples were sent for testing, both were negative for any entero-pathogen by culture & microscopy. Three water samples were sent for testing, out of which 2 were found to be non-potable. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
KT/CHI/2025/19/801,Karnataka,Chitradurga,Acute Diarrheal Disease,104,0,2025-04-07,2025-05-07,Under Control,"Cases were reported from Srirampura CHC & PHC, Village Mallihalli and Goolihalli, Sub-District Hosdurga, District Chitradurga. Cases presented with loose stools, vomiting, fever and pain abdomen after attending a marriage function on 3rd and 4th May 2025. The affected age group was 10-70 years. Two stool and food samples were collected & sent to VIMS Bellary. Both stool samples did not show growth of Cholera or any other entero-pathogen on culture & microscopy. Water samples were sent to VIMS Bellary, all were found to be fit for drinking purpose. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation. House to house survey was conducted. IEC done for drinking boiled and filtered water, etc."
KT/UDU/2025/19/802,Karnataka,Udupi,Acute Diarrheal Disease,15,0,2025-05-05,2025-05-05,Under Surveillance,"Cases were reported from a hostel under UHC Manipal, Village Manipal, Sub- District Udupi, District Udupi. Cases presented with abdominal pain, nausea, vomiting and diarrhea after consuming food and water from A common kitchen on 2-05- 2025. The affected age group was 18-19 years. Three stool samples were sent to District Hospital for culture, all were negative for entero-pathogens like Shigella, Salmonella and Vibrio after 24hrs of aerobic incubation. Six water were sent for testing, out of which 2 were found to be non-potable by MPN test. All cases were treated at District Hospital. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
KL/ERN/2025/19/803,Kerala,Ernakulam,Dengue,21,0,2025-05-06,2025-05-06,Under Surveillance,"Cases were reported from Sub-District Kothamangalam, District Ernakulam. Cases presented with fever with bodyache. 5 blood samples were collected and sent to RPH Lab Ernakulam. All the samples found positive for Dengue IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
KL/KOT/2025/19/804,Kerala,Kottayam,Hepatitis A,6,1,2025-05-02,2025-05-07,Under Surveillance,"Cases were reported from Village Onamthuruth, Sub-District Kottayam, District Kottayam. Cases presented with fever, jaundice, general weakness. 7 blood samples sample found positive for Hepatitis A IgM by ELISA from MCH Kottayam and GH Kottayam. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation. 26-year-old male expired on 01- 05-2025."
KL/MAL/2025/19/805,Kerala,Malappuram,Nipah Virus,1,0,2025-05-08,2025-05-09,Under Surveillance,"Case was reported from FHC Valanchery area, District Malappuram. A 42-year-old female presented with fever, vomiting and altered sensorium. Blood sample found positive for NIPAH by RT-PCR at NIV, Pune. District RRT investigated the outbreak. Case is getting treatment in the hospital. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
KL/PAL/2025/19/806,Kerala,Palakkad,Dengue,49,2,2025-05-08,2025-05-09,Under Surveillance,"Cases were reported from Village Chalissery, Sub -District Pattambi, District Palakkad. Cases presented with fever with bodyache. 25 blood samples found positive for Dengue NS1 antigen by ELISA from MCH Thrissur. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two deaths of a 43 year old female & a 53 year old male occurred on 05-06-2025 & 10-06- 2025, respectively due to the illness (both were positive for Dengue)."
MP/IND/2025/19/807,Madhya Pradesh,Indore,Fever of unknown origin,24,0,2025-05-02,2025-05-06,Under Surveillance,"Cases were reported from Sub-District Sawer, District Indore. Cases presented with fever with chills and fatigue. Only one sample found positive for malaria (Plasmodium vivax) by Peripheral Blood Smear at DPHL however 23 samples found negative for malaria by RDT at CH Sanwer. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
MH/BEE/2025/19/808,Maharashtra,Beed,Suspected Food Poisoning,206,0,2025-05-08,2025-05-09,Under Surveillance,"Cases were reported from Village Pimpri, Sub-District Ambejogai, District Beed. Cases presented with loose stools, pain abdomen and vomiting. 5 Stool samples and 2 vomitus samples were collected and sent to District Hospital, Beed. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. All the cases developed the symptoms after consuming food in a social function. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
MH/RAI/2025/19/809,Maharashtra,Raigad,Suspected Food Poisoning,52,0,2025-05-05,2025-05-06,Under Control,"Cases were reported from Village Khamb, Sub-District Roha, District Raigad. Cases presented with loose stools and pain abdomen. 4 Stool samples were collected and sent to Grants Medical College, Mumbai. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. All the cases developed the symptoms after consuming food in a marriage function. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
