Region,State,Date,Maximum_Demand_MW,Peak_Shortage_MW
NER,Assam,2026-04-02,1832,0
NER,Manipur,2026-04-02,237,0
NER,Meghalaya,2026-04-02,340,0
NER,Mizoram,2026-04-02,148,0
NER,Nagaland,2026-04-02,181,0
NER,Tripura,2026-04-02,309,0
NR,Punjab,2026-04-03,7875,0
NR,Haryana,2026-04-03,7529,0
NR,Rajasthan,2026-04-03,11298,0
NR,Delhi,2026-04-03,4445,0
NR,UP,2026-04-03,21509,0
NR,Uttarakhand,2026-04-03,2330,0
NR,HP,2026-04-03,1740,0
NR,J&K,2026-04-03,2600,0
NR,Chandigarh,2026-04-03,208,0
NR,Railways_NR ISTS,2026-04-03,205,0
WR,Chhattisgarh,2026-04-03,6813,0
WR,Gujarat,2026-04-03,21670,0
WR,MP,2026-04-03,12269,0
WR,Maharashtra,2026-04-03,26614,0
WR,Goa,2026-04-03,784,0
WR,DNHDDPDCL,2026-04-03,1265,0
WR,AMNSIL,2026-04-03,859,0
WR,BALCO,2026-04-03,711,0
WR,RIL Jamnagar,2026-04-03,267,0
SR,Andhra Pradesh,2026-04-03,13256,0
SR,Telangana,2026-04-03,16975,0
SR,Karnataka,2026-04-03,17192,0
SR,Kerala,2026-04-03,5275,0
SR,Tamil Nadu,2026-04-03,19920,0
SR,Pondy,2026-04-03,457,0
ER,Bihar,2026-04-03,6949,0
ER,DVC,2026-04-03,3168,0
ER,Jharkhand,2026-04-03,2172,0
ER,Odisha,2026-04-03,6354,0
ER,West Bengal,2026-04-03,11598,0
ER,Sikkim,2026-04-03,107,0
ER,Railways_ER ISTS,2026-04-03,23,0
NER,Arunachal Pradesh,2026-04-03,169,0
NER,Assam,2026-04-03,1882,0
NER,Manipur,2026-04-03,237,0
NER,Meghalaya,2026-04-03,327,0
NER,Mizoram,2026-04-03,120,0
NER,Nagaland,2026-04-03,166,0
NER,Tripura,2026-04-03,324,0
NR,Punjab,2026-04-04,7277,0
NR,Haryana,2026-04-04,8302,0
NR,Rajasthan,2026-04-04,11019,0
NR,Delhi,2026-04-04,4244,0
NR,UP,2026-04-04,19134,0
NR,Uttarakhand,2026-04-04,2272,0
NR,HP,2026-04-04,1687,0
NR,J&K,2026-04-04,2569,0
NR,Chandigarh,2026-04-04,210,0
NR,Railways_NR ISTS,2026-04-04,200,0
WR,Chhattisgarh,2026-04-04,6728,0
WR,Gujarat,2026-04-04,20730,0
WR,MP,2026-04-04,13285,0
